Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,src\RevolutionaryStuff.ApiCore\RevolutionaryStuff.ApiCore.csproj,File,src\RevolutionaryStuff.ApiCore\RevolutionaryStuff.ApiCore.csproj,,,Microsoft.Extensions.Hosting 9.0.9,,,,,"Microsoft.Extensions.Hosting, 9.0.9  Recommendation:  Remove Microsoft.Extensions.Hosting, and replace with new package Microsoft.Extensions.Hosting 10.0.2"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,src\RevolutionaryStuff.ApiCore\RevolutionaryStuff.ApiCore.csproj,File,src\RevolutionaryStuff.ApiCore\RevolutionaryStuff.ApiCore.csproj,,,Microsoft.AspNetCore.OpenApi 9.0.9,,,,,"Microsoft.AspNetCore.OpenApi, 9.0.9  Recommendation:  Remove Microsoft.AspNetCore.OpenApi, and replace with new package Microsoft.AspNetCore.OpenApi 10.0.2"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,src\RevolutionaryStuff.ApiCore\RevolutionaryStuff.ApiCore.csproj,File,src\RevolutionaryStuff.ApiCore\RevolutionaryStuff.ApiCore.csproj,,,Microsoft.Extensions.Http.Resilience 9.9.0,,,,,"Microsoft.Extensions.Http.Resilience, 9.9.0  Recommendation:  Remove Microsoft.Extensions.Http.Resilience, and replace with new package Microsoft.Extensions.Http.Resilience 10.2.0"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,src\RevolutionaryStuff.ApiCore\RevolutionaryStuff.ApiCore.csproj,File,src\RevolutionaryStuff.ApiCore\RevolutionaryStuff.ApiCore.csproj,,,Microsoft.Extensions.ServiceDiscovery 9.4.2,,,,,"Microsoft.Extensions.ServiceDiscovery, 9.4.2  Recommendation:  Remove Microsoft.Extensions.ServiceDiscovery, and replace with new package Microsoft.Extensions.ServiceDiscovery 10.2.0"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,src\RevolutionaryStuff.ApiCore\RevolutionaryStuff.ApiCore.csproj,File,src\RevolutionaryStuff.ApiCore\RevolutionaryStuff.ApiCore.csproj,,,OpenTelemetry.Instrumentation.AspNetCore 1.12.0,,,,,"OpenTelemetry.Instrumentation.AspNetCore, 1.12.0  Recommendation:  Remove OpenTelemetry.Instrumentation.AspNetCore, and replace with new package OpenTelemetry.Instrumentation.AspNetCore 1.15.0"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,src\RevolutionaryStuff.ApiCore\RevolutionaryStuff.ApiCore.csproj,File,src\RevolutionaryStuff.ApiCore\RevolutionaryStuff.ApiCore.csproj,,,OpenTelemetry.Instrumentation.Http 1.12.0,,,,,"OpenTelemetry.Instrumentation.Http, 1.12.0  Recommendation:  Remove OpenTelemetry.Instrumentation.Http, and replace with new package OpenTelemetry.Instrumentation.Http 1.15.0"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,src\RevolutionaryStuff.ApiCore\RevolutionaryStuff.ApiCore.csproj,File,src\RevolutionaryStuff.ApiCore\RevolutionaryStuff.ApiCore.csproj,,,,,,,,Current target framework: net9.0 Recommended target framework: net10.0
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\RevolutionaryStuff.ApiCore\RevolutionaryStuff.ApiCore.csproj,File,src\RevolutionaryStuff.ApiCore\Startup\ApiProgram.cs,232,8,M:Microsoft.AspNetCore.Builder.ExceptionHandlerExtensions.UseExceptionHandler(Microsoft.AspNetCore.Builder.IApplicationBuilder),,,,,app.UseExceptionHandler();
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\RevolutionaryStuff.ApiCore\RevolutionaryStuff.ApiCore.csproj,File,src\RevolutionaryStuff.ApiCore\Startup\ApiProgram.cs,62,8,M:Microsoft.Extensions.Logging.ConsoleLoggerExtensions.AddConsole(Microsoft.Extensions.Logging.ILoggingBuilder),,,,,loggingBuilder.AddConsole();
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\RevolutionaryStuff.ApiCore\RevolutionaryStuff.ApiCore.csproj,File,src\RevolutionaryStuff.ApiCore\Services\ServerInfoFinders\ServerInfoFinder.cs,32,8,P:System.Environment.OSVersion,,,,,"return new ServerInfo()          {              ApplicationStartedAt = Stuff.ApplicationStartedAt,              ApplicationInstanceId = Stuff.ApplicationInstanceId,              MachineName = Environment.MachineName,              ServerTime = DateTimeOffset.UtcNow,              OperatingSystemVersion = new(Environment.OSVersion),              Is64BitOperatingSystem = Environment.Is64BitOperatingSystem,              Is64BitProcess = Environment.IsPrivilegedProcess,              EntryPointAssembly = Assembly.GetEntryAssembly()?.FullName,              ApplicationName = _applicationNameFinder.ApplicationName,              EnvironmentName = _hostEnvironment.EnvironmentName,              EnvironmentVariables = environmentVariables?.AsReadOnlyDictionary(),              Configs = configs?.AsReadOnlyDictionary(),              TargetFramework = AppDomain.CurrentDomain?.SetupInformation?.TargetFrameworkName          };"
